제품명(한글),수입일자,제조국,수출국,가격
샬롯,2/5/2021,태국,태국,16
"마늘종(꽃줄기,신선)",2/5/2021,중국,중국,95
우엉,2/5/2021,중국,중국,45
캐슈넛,2/5/2021,베트남,베트남,9
건생강,2/5/2021,중국,중국,57
유기농 냉동노니,2/5/2021,인도네시아,인도네시아,42
냉동홍고추,2/5/2021,중국,중국,94
망고,2/5/2021,태국,태국,83
냉동당근,2/5/2021,중국,중국,48
냉동그린빈,2/5/2021,중국,중국,1
냉동대파,2/5/2021,중국,중국,99
냉동대파,2/5/2021,중국,중국,44
냉동대파,2/5/2021,중국,중국,65
캐모마일,2/5/2021,이집트,이집트,70
페퍼민트,2/5/2021,이집트,이집트,11
오가피,2/5/2021,중국,중국,74
깐도라지,2/5/2021,중국,중국,13
신선브로콜리,2/5/2021,중국,중국,12
호박씨,2/5/2021,중국,중국,5
신선브로콜리,2/5/2021,중국,중국,19
신선우엉,2/5/2021,중국,중국,31
아라비카 커피생두,2/5/2021,브라질,브라질,24
커피원두,2/5/2021,에티오피아,지부티,88
커피원두,2/5/2021,베트남,베트남,43
양상추,2/5/2021,중국,중국,81
호박씨,2/5/2021,중국,중국,81
커피원두,2/5/2021,콜롬비아,캐나다,50
냉동부추,2/5/2021,중국,중국,6
호박씨,2/5/2021,중국,중국,63
백목이버섯,2/5/2021,중국,중국,82
꽃사슴살롯,2/5/2021,중국,중국,3
신선 표고버섯,2/5/2021,중국,중국,7
커피원두,2/5/2021,브라질,브라질,61
땅콩,2/5/2021,중국,중국,7
파인애플,2/5/2021,필리핀,필리핀,62
커피원두,2/5/2021,베트남,베트남,58
냉동고추,2/5/2021,중국,중국,73
커피원두,2/5/2021,브라질,브라질,8
커피원두,2/5/2021,브라질,브라질,3
커피원두,2/5/2021,브라질,브라질,57
망고,2/5/2021,베트남,베트남,66
신선깐양파,2/5/2021,중국,중국,4
양상추(7.5KG),2/5/2021,대만,대만,7
양상추(13KG),2/5/2021,대만,대만,67
마늘쫑,2/5/2021,중국,중국,61
건생강,2/5/2021,중국,중국,90
양상추,2/5/2021,대만,대만,35
망고,2/5/2021,페루,페루,40
냉동홍고추,2/5/2021,중국,중국,96
마른줄기상추,2/5/2021,중국,중국,26
초석잠,2/5/2021,중국,중국,6
삼채,2/5/2021,중국,중국,32
깐더덕,2/5/2021,중국,중국,29
깐우엉,2/5/2021,중국,중국,17
신선표고버섯,2/5/2021,중국,중국,29
신선깐마늘,2/5/2021,중국,중국,12
건다래순,2/5/2021,중국,중국,58
망고,2/5/2021,태국,태국,93
망고,2/5/2021,태국,태국,64
망고,2/5/2021,태국,태국,23
망고,2/5/2021,태국,태국,32
"망고(열매,신선)",2/5/2021,태국,태국,34
베트남 로부스타 커피,2/5/2021,베트남,베트남,8
신선당근,2/5/2021,중국,중국,27
깐우엉,2/5/2021,중국,중국,49
신선우엉,2/5/2021,중국,중국,71
건취나물,2/5/2021,중국,중국,27
건피마자,2/5/2021,중국,중국,6
신선양상추,2/5/2021,중국,중국,69
포도,2/5/2021,페루,페루,11
신선우엉,2/5/2021,중국,중국,83
오렌지,2/5/2021,미국,미국,84
깐더덕,2/5/2021,중국,중국,16
양파,2/5/2021,중국,중국,61
신선양파,2/5/2021,중국,중국,35
깐도라지 (2KG),2/5/2021,중국,중국,52
양배추,2/5/2021,중국,중국,66
체리,2/5/2021,칠레,칠레,16
신선깐도라지,2/5/2021,중국,중국,33
망고,2/5/2021,페루,페루,91
프리제(FRISEE),2/5/2021,스페인,벨기에,50
엔다이브,2/5/2021,벨기에,벨기에,2
파스니프,2/5/2021,벨기에,벨기에,71
송로버섯,2/5/2021,이탈리아,이탈리아,18
신선부추,2/5/2021,중국,중국,53
망고,2/5/2021,베트남,베트남,23
마다가스카르 바닐라 빈,2/5/2021,마다가스카르,마다가스카르,61
건토란줄기,2/5/2021,미얀마,미얀마,54
쪽파,2/5/2021,라오스,라오스,31
파스닙,2/5/2021,벨기에,벨기에,28
망고,2/5/2021,페루,페루,1
핑거루트,2/5/2021,태국,태국,11
앤다이브,2/5/2021,벨기에,벨기에,43
방울다다기 양배추,2/5/2021,벨기에,벨기에,64
아스파라거스,2/5/2021,태국,태국,28
앤다이브(프리셰),2/5/2021,스페인,벨기에,25
레몬그라스,2/5/2021,태국,태국,76
갈랑갈,2/5/2021,태국,태국,27
냉동 홍피망,2/5/2021,중국,중국,58
호두,2/5/2021,미국,미국,86
호박씨,2/5/2021,중국,중국,83
깐도라지,2/5/2021,중국,중국,88
마늘쫑,2/5/2021,중국,중국,84
망고,2/5/2021,태국,태국,23
망고,2/5/2021,태국,태국,51
망고,2/5/2021,태국,태국,70
신선깐도라지,2/5/2021,중국,중국,10
"회향(열매,신선)",2/5/2021,이탈리아,벨기에,62
"파스닙(뿌리,신선)",2/5/2021,벨기에,벨기에,46
리크,2/5/2021,벨기에,벨기에,24
앤다이브,2/5/2021,벨기에,벨기에,18
방울다다기 양배추,2/5/2021,벨기에,벨기에,93
셀러리악,2/5/2021,네덜란드,벨기에,14
후추,2/5/2021,인도,인도,85
캐슈,2/5/2021,베트남,베트남,34
레몬그라스,2/5/2021,베트남,베트남,27
냉동 홍고추,2/5/2021,중국,중국,12
커피원두,2/5/2021,온두라스,온두라스,66
페루커피원두,2/5/2021,페루,페루,22
커피원두,2/5/2021,브라질,브라질,73
콜롬비아  커피원두,2/5/2021,콜롬비아,콜롬비아,93
바나나,2/5/2021,과테말라,과테말라,68
아보카도,2/5/2021,멕시코,멕시코,52
포도,2/5/2021,페루,페루,78
망고,2/5/2021,페루,페루,48
신선양파,2/5/2021,중국,중국,28
파인애플,2/5/2021,필리핀,필리핀,93
파인애플,2/5/2021,필리핀,필리핀,87
옥수수,2/5/2021,호주,호주,45
망고,2/5/2021,페루,페루,55
커피원두,2/5/2021,탄자니아,탄자니아,88
콩나물콩,2/5/2021,미국,미국,61
망고,2/5/2021,태국,태국,23
신선마늘쫑,2/5/2021,중국,중국,82
양상추,2/5/2021,대만,대만,46
아스파라거스 (7KG),2/5/2021,태국,태국,43
레몬그라스,2/5/2021,태국,태국,15
망고,2/5/2021,태국,태국,48
커피생두,2/5/2021,르완다,르완다,92
커피생두,2/5/2021,에티오피아,에티오피아,3
커피생두,2/5/2021,브라질,브라질,5
커피생두,2/5/2021,콜롬비아,콜롬비아,90
샬롯,2/5/2021,베트남,베트남,72
체리,2/5/2021,칠레,칠레,42
결명자,2/5/2021,중국,중국,31
깐도라지 (2KG),2/5/2021,중국,중국,8
망고,2/5/2021,페루,페루,39
커피생두,2/5/2021,브라질,브라질,38
콜롬비아  커피원두,2/5/2021,콜롬비아,콜롬비아,21
강낭콩,2/5/2021,중국,중국,8
커피원두,2/5/2021,에티오피아,에티오피아,53
알땅콩,2/5/2021,중국,중국,72
신선당근,2/5/2021,중국,중국,79
커피 생두,2/5/2021,브라질,브라질,20
바나나,2/5/2021,필리핀,필리핀,92
바나나,2/5/2021,필리핀,필리핀,49
커피 생두,2/5/2021,베트남,베트남,87
커피생두,2/5/2021,미국,미국,3
감초,2/5/2021,중국,중국,88
상심자,2/5/2021,파키스탄,파키스탄,74
커피원두,2/5/2021,탄자니아,탄자니아,17
온두라스커피원두,2/5/2021,온두라스,온두라스,17
냉동대파 50mm,2/5/2021,중국,중국,76
적강낭콩,2/5/2021,미국,미국,95
냉동 시금치,2/5/2021,중국,중국,7
통계피,2/5/2021,베트남,베트남,84
냉동 연근,2/5/2021,중국,중국,32
냉동 단호박,2/5/2021,중국,중국,86
냉동대파,2/5/2021,중국,중국,24
냉동알밤,2/5/2021,중국,중국,41
냉동고추,2/5/2021,중국,중국,90
냉동대파,2/5/2021,중국,중국,92
냉동 청피망,2/5/2021,중국,중국,47
냉동단호박,2/5/2021,중국,중국,48
도토리,2/5/2021,중국,중국,38
냉동양파,2/5/2021,중국,중국,29
냉동피망,2/5/2021,중국,중국,14
냉동 양파,2/5/2021,중국,중국,25
냉동마늘,2/5/2021,중국,중국,6
냉동 청양고추,2/5/2021,중국,중국,74
냉동딸기,2/5/2021,중국,중국,89
냉동새송이버섯,2/5/2021,중국,중국,83
냉동 근대,2/5/2021,중국,중국,46
냉동대파,2/5/2021,중국,중국,43
냉동아욱,2/5/2021,중국,중국,34
